id	rtAllCriticsRating	rtAllCriticsNumReviews	rtAllCriticsNumFresh	rtAllCriticsScore	rtAudienceRating	rtAudienceNumRatings	rtAudienceScore
57	6	44	28	63	3.4	3045	69
58	7.9	25	23	92	4.1	5794	92
59	0	1	1	100	0	0	0
60	6.2	19	13	68	2.7	5127	41
61	0	0	0	0	0	0	0
62	6.7	26	19	73	3.5	9569	79
63	4.5	24	7	29	0	0	0
64	3.9	27	3	11	2.6	1608	29
65	1.9	21	1	4	2.6	8972	51
66	2.8	9	1	11	2.1	952	18
67	5	10	4	40	3.3	685	54
68	6.1	10	5	50	3.4	597	58
69	0	0	0	0	0	0	0
70	6	43	27	62	3.4	36073	75
71	2.4	24	3	12	2.1	1761	16
72	5.1	137	57	41	3	14260	51
73	6.9	41	31	75	3.6	7310	81
74	5.3	14	3	21	3.2	3163	66
75	2.8	7	0	0	2.4	1459	23
76	4.7	30	9	30	3	2070	45
77	7.1	13	11	84	4	87	85
78	6.5	27	20	74	3.3	2170	56
79	4.4	19	3	15	2.8	2266	39
80	6.8	20	16	80	4	547	86
81	4.9	27	9	33	3.5	3197	72
82	6.5	25	16	64	4.2	1707	90
83	7.3	14	10	71	3.7	414	76
84	5.6	15	9	60	3.3	89	47
85	6.5	20	14	70	3.3	635	62
86	5.8	30	19	63	3.2	3184	62
87	3.8	15	1	6	2.5	2935	39
88	6.4	87	61	70	3.2	19454	54
89	4.6	28	8	28	3.1	10563	54
90	6.2	7	4	57	3.1	286	54
92	4.4	41	11	26	2.8	3733	41
93	3.6	28	3	10	2.4	6122	37
94	7	46	36	78	3.6	4674	79
95	5.8	29	16	55	2.9	12489	51
96	7.3	19	17	89	4.1	309	88
97	8	14	14	100	4.3	11987	95
98	5	29	12	41	2.8	691	37
99	7.5	7	5	71	3	281	46
100	6.1	22	12	54	3	2730	42
101	6.6	42	33	78	3.7	16217	80
102	3.1	28	1	3	2.4	1544	29
103	4.4	26	6	23	3	358	36
104	5.5	50	29	58	3.7	114875	83
105	7.2	40	36	90	3.6	11573	83
106	6	6	4	66	4.2	161	89
107	6.1	22	15	68	3.2	8588	68
110	7	48	37	77	3.8	204275	83
111	8.7	50	49	98	4.1	58145	93
112	6.4	52	41	78	3.1	7517	62
113	4.8	19	6	31	3	1276	39
114	6.9	6	4	66	3.7	500	76
115	0	0	0	0	0	0	0
116	7.8	27	26	96	3.7	1076	79
117	7.1	13	11	84	3.7	541	79
118	4	26	5	19	3.1	1202	49
119	4.5	13	2	15	2.9	555	36
120	4.8	9	2	22	2.9	822	40
121	8.2	6	6	100	3.5	401	77
122	4.8	27	10	37	2.8	4751	55
123	7.7	27	26	96	4.2	11068	93
124	6.5	12	9	75	3.7	543	73
125	7.4	42	36	85	3.3	2127	65
126	0	3	1	33	0	0	0
128	0	4	3	75	0	0	0
129	0	2	1	50	0	0	0
130	5.7	84	44	52	3.6	4588	79
131	5.8	6	4	66	3.8	133	61
132	5.2	122	55	45	3.1	4108	52
134	0	3	2	66	0	0	0
135	3.8	31	4	12	2.8	3851	60
136	7.6	9	9	100	4	30	75
137	4.4	141	30	21	3	29127	51
139	5.2	29	14	48	0	0	0
140	5.1	31	10	32	3.2	2932	63
141	6.7	29	22	75	3.3	13502	75
143	\N	\N	\N	\N	\N	\N	\N
144	7.1	34	31	91	3.2	1225	55
145	4.8	41	16	39	3.5	67658	79
146	4.3	9	2	22	3	1335	46
147	4.9	35	15	42	3.5	12119	77
148	5.4	11	4	36	3.2	1433	55
149	3.9	24	4	16	3	8865	46
150	8	51	49	96	3.6	30565	78
151	6.3	42	30	71	3.3	5253	73
152	3.1	149	10	6	2.5	28208	33
153	5.2	54	23	42	2.9	47498	42
154	8.6	36	34	94	4	1378	84
155	5.1	30	11	36	3.5	3962	64
156	5.5	20	9	45	3.5	1323	73
157	3.3	14	2	14	2.9	3460	49
158	4.7	34	14	41	3	20672	54
159	6.5	46	31	67	3.5	2502	74
160	3.6	42	9	21	2.6	7008	34
161	7.4	44	38	86	3.5	11550	77
162	8.3	39	37	94	4	2689	88
163	6.3	38	23	60	3.5	23821	79
164	7.3	50	44	88	3.3	2742	64
165	5.7	42	20	47	3.6	61394	83
166	4.9	29	14	48	3.3	2680	64
167	6.2	9	6	66	2.9	226	40
168	5.2	42	19	45	3	13290	59
169	4.6	12	3	25	2.8	8336	53
170	4.7	19	7	36	3.2	16863	66
171	6.1	23	14	60	3.4	836	68
172	3.3	28	4	14	2.5	7062	33
173	3.6	47	7	14	2.5	10571	35
174	2.1	11	0	0	2.4	1843	33
175	5	52	26	50	3.5	11282	78
176	7.4	24	21	87	3.8	1878	85
177	5.7	19	13	68	3	2344	51
178	6.5	11	7	63	0	0	0
179	0	0	0	0	0	0	0
180	5.4	40	21	52	3.6	40221	83
181	4.6	19	8	42	2.7	5904	52
182	4.6	13	2	15	3.1	978	51
183	6.9	19	15	78	3.2	644	61
184	0	0	0	0	0	0	0
185	5.1	33	11	33	2.8	10933	50
186	4.3	24	6	25	2.7	8930	40
187	6.3	31	24	77	3.5	1243	73
188	5.2	19	8	42	3.3	5062	71
189	0	3	3	100	0	0	0
190	7.6	13	12	92	0	0	0
191	3	33	5	15	2.9	3493	48
193	2.9	41	5	12	2.3	7443	35
194	7.8	27	25	92	3.9	3101	88
195	5.3	27	10	37	3	6137	55
196	4.9	31	12	38	2.7	6716	37
197	4.9	7	2	28	3	66	18
198	6	38	23	60	3.3	7016	70
199	8.6	45	44	97	4.1	3199	86
200	2.8	9	1	11	3	286	34
201	4.4	15	2	13	3	1249	52
202	4.9	16	4	25	3.4	2222	63
203	5	23	8	34	3.1	6833	69
204	4.5	29	10	34	2.6	5213	47
205	6.3	21	16	76	3.2	530	54
206	6.7	13	10	76	3.3	64	67
207	5.5	22	9	40	3.3	12692	74
208	5.1	48	20	41	2.6	18023	46
209	4.5	32	8	25	2.8	1275	38
210	\N	\N	\N	\N	\N	\N	\N
211	7.8	17	15	88	4.3	270	94
212	2.1	9	0	0	2.6	1388	38
213	7	13	10	76	4.3	1533	93
214	7.5	12	10	83	4.4	1683	93
215	8.2	34	34	100	4.1	20616	92
216	4.8	35	15	42	3.5	91595	79
217	4.4	26	8	30	2.9	1237	35
218	6	32	23	71	3.1	4572	65
219	5.5	10	4	40	3.7	2207	79
220	5.4	7	4	57	0	0	0
222	6.5	35	27	77	3.3	3292	65
223	7.4	48	42	87	3.8	57642	89
224	5.8	22	16	72	3.3	14169	70
225	5.7	40	24	60	2.8	3648	41
226	7.2	35	30	85	3.2	1497	58
227	4.1	19	6	31	2.7	2485	36
228	2.7	15	2	13	2.6	446	27
229	7	48	40	83	3.6	1972	76
230	6.8	33	28	84	3.4	4632	75
231	5.8	45	28	62	3.3	95871	79
232	7.4	31	29	93	4	3802	91
233	8.3	27	26	96	3.7	1837	81
234	2.4	15	1	6	2.3	1694	27
235	7.9	57	52	91	3.7	28216	83
236	5.7	21	10	47	3.2	11010	70
237	5.4	33	17	51	3	2108	51
238	5.2	6	3	50	0	0	0
239	5.7	14	8	57	3.1	17024	57
240	3.5	12	2	16	2.8	1077	41
241	4	9	3	33	3.4	1598	70
242	5.7	21	14	66	3.8	1092	81
243	6.3	32	26	81	3.1	6492	64
244	0	4	0	0	0	0	0
245	5.6	21	13	61	3	263	41
246	8.5	44	43	97	4.1	3243	92
247	8.3	41	39	95	3.7	8208	82
248	3.4	20	3	15	2.8	1745	51
249	6	30	17	56	3.8	4786	87
250	4.1	5	1	20	0	0	0
251	4.7	143	44	30	3	5362	51
252	5.1	21	9	42	2.8	3758	46
253	5.8	45	26	57	3.7	77706	85
254	4.9	14	5	35	2.8	404	27
255	1.6	10	1	10	0	0	0
256	4.7	30	10	33	2.4	9754	28
257	4	26	6	23	3.1	2888	51
258	3.2	6	0	0	0	0	0
259	6.4	36	24	66	2.9	2125	39
260	8.2	64	60	93	4.1	147448	93
261	0	0	0	0	0	0	0
262	8.4	20	19	95	3.4	13643	81
263	7.2	6	4	66	4	368	87
264	7.9	8	8	100	3.5	421	67
265	7.6	28	25	89	3.9	5713	86
266	0	0	0	0	0	0	0
267	4.6	10	3	30	2.9	8555	69
268	5.8	17	11	64	3.5	985	69
269	6.6	15	12	80	3.9	2251	81
270	4.8	26	8	30	3.5	1260	71
271	5.1	28	12	42	3.6	2364	76
272	7.8	42	39	92	3.6	1886	76
273	8.5	38	38	100	3.6	7211	81
274	3.3	60	5	8	3.1	10877	59
275	2.8	28	2	7	2.9	2410	46
276	2.6	25	1	4	2.7	2126	40
277	8	31	29	93	3.5	5409	81
278	6.1	18	8	44	2.6	766	28
279	7.2	11	9	81	3.9	1137	85
280	5.5	34	17	50	3.5	3888	78
281	0	4	0	0	3	289	43
282	5	31	16	51	3.1	5373	63
283	6.5	7	4	57	3.8	814	81
284	0	0	0	0	0	0	0
285	0	1	0	0	0	0	0
286	0	0	0	0	0	0	0
287	5.2	6	3	50	3.4	125	52
288	6	29	15	51	3.5	39062	80
289	5.5	22	11	50	3.3	4388	69
290	7.7	31	29	93	0	0	0
291	3.8	6	1	16	0	0	0
292	5.6	41	24	58	3.1	10732	55
293	6.8	39	30	76	4.1	59011	94
294	6.3	15	10	66	3.2	500	50
295	3.4	9	0	0	3.1	773	44
296	8.9	50	47	94	4.2	249269	95
297	3.5	128	16	12	3.1	77879	48
298	0	2	2	100	0	0	0
299	7.2	19	13	68	3.8	1042	81
300	8.1	50	48	96	3.5	5428	79
301	6.8	10	8	80	3.7	324	77
302	5.9	22	17	77	4	2511	86
303	5.9	39	22	56	3.1	12178	56
304	5.1	13	4	30	3.2	387	51
305	4.8	21	6	28	2.5	1885	26
306	8.5	40	40	100	4.2	9557	94
307	8.4	32	32	100	4.2	11731	93
308	7.5	31	28	90	3.9	5105	86
309	0	4	3	75	4.6	71	100
310	0	0	0	0	0	0	0
312	4.6	25	7	28	2.6	531	44
313	5.3	9	4	44	3.1	5951	66
314	7.8	40	39	97	3.9	1439	86
315	3.1	24	1	4	2.5	5147	34
316	5.2	37	17	45	3.3	23611	75
317	4.1	17	3	17	3.1	2513	66
318	8	57	50	87	4.4	168839	98
319	6.4	42	30	71	3.6	9041	81
320	6.2	11	7	63	3.6	236	74
321	6.6	19	15	78	3.9	848	83
322	6.3	33	25	75	3.6	2888	78
324	6.5	13	9	69	3.6	1056	74
325	2.6	7	0	0	3	1370	53
326	8.1	14	12	85	4.3	1836	95
327	4.9	33	14	42	2.8	7013	61
328	4	23	7	30	3.2	4989	63
329	5.5	44	20	45	3.3	15342	62
330	4.3	15	5	33	3.1	2119	58
331	4.8	11	4	36	3.4	351	59
332	4	30	9	30	2.7	4194	36
333	5.2	38	17	44	3.6	34476	89
334	7.6	32	28	87	3.7	466	73
335	5.7	19	10	52	3	405	36
336	0	4	2	50	0	0	0
337	7.3	42	37	88	3.7	57512	86
338	4.3	29	10	34	2.8	4167	37
339	6.5	41	35	85	3.2	25923	75
340	0	0	0	0	0	0	0
341	7	10	7	70	3.4	627	61
342	7.1	32	29	90	3.4	8356	78
343	6	15	9	60	2.9	1930	46
344	4.6	37	18	48	3.1	163811	57
345	7	29	27	93	3.7	8695	84
346	6.2	34	25	73	3.3	926	67
347	6.2	29	19	65	3.8	3436	79
348	7.9	54	52	96	3.6	3913	79
349	6.8	37	29	78	3.3	11095	69
350	6.1	35	28	80	3.3	7408	67
351	5.2	16	6	37	3.1	4265	65
352	6.6	24	18	75	4.1	3115	87
353	7	40	33	82	3.8	64467	87
354	6.2	32	21	65	3.2	875	57
355	3.7	40	8	20	2.5	11823	35
356	6.9	53	37	69	4.1	205253	93
357	7.5	49	47	95	3.2	21524	68
358	5.3	34	17	50	3.5	4026	77
359	7.4	9	7	77	4	625	85
360	\N	\N	\N	\N	\N	\N	\N
361	6.2	34	23	67	3	6180	53
362	7.3	27	24	88	3.5	35715	70
363	7.6	22	21	95	3.7	257	81
364	8	61	56	91	3.9	127550	89
365	5.8	22	14	63	3.1	2898	50
366	6.6	31	25	80	3.2	11902	65
367	6.4	44	33	75	3.2	68419	66
368	6	37	26	70	3.2	11507	68
369	6.3	24	17	70	3.5	634	62
370	5.6	32	17	53	2.9	10482	59
371	6.7	31	27	87	3.1	1357	54
372	6	42	27	64	3.3	10533	74
373	7.5	37	35	94	0	0	0
374	4.2	20	5	25	2.5	10242	38
375	5.8	12	6	50	3.4	310	59
376	5.8	27	15	55	2.9	5610	50
377	7.6	41	37	90	3.3	51008	72
378	3.9	25	3	12	2.8	683	34
379	5.3	38	18	47	2.6	6534	38
380	6.4	45	31	68	3.2	27905	70
381	6.5	19	13	68	3.3	6791	76
382	5.9	48	29	60	2.8	6634	43
383	5.3	26	11	42	3.2	8070	63
384	3.9	134	14	10	2.8	6415	42
385	7	12	10	83	3.6	111	62
386	3.2	16	2	12	3	1184	49
387	3.6	20	0	0	2.9	3460	58
388	6.3	34	26	76	3.5	5072	76
389	7.1	6	5	83	3.6	142	59
390	6.9	25	18	72	3.8	3351	77
391	6	14	10	71	4	2470	87
392	6.3	5	4	80	0	0	0
393	2.9	24	3	12	2.2	10305	25
394	8.3	25	22	88	3.8	2614	83
395	4.3	9	2	22	4	36	100
396	0	3	0	0	0	0	0
397	6.9	38	29	76	3.4	13943	74
398	7.3	8	7	87	3.9	177	83
401	0	3	2	66	0	0	0
402	5.4	98	46	46	3.4	91895	66
404	0	1	1	100	4.2	76	90
405	0	0	0	0	0	0	0
406	6.4	15	12	80	3	131	41
407	5	29	14	48	3.5	5731	73
408	5.2	12	4	33	3.6	7861	89
409	5.4	18	10	55	3.5	4319	84
410	6.3	35	26	74	3.1	21548	57
412	\N	\N	\N	\N	\N	\N	\N
413	4.2	31	7	22	2.9	13551	51
414	4	26	6	23	2.6	2385	33
415	3.9	21	3	14	2.5	1861	31
416	3.5	21	2	9	2.8	5946	49
417	6.9	188	154	81	3.6	45494	73
418	\N	\N	\N	\N	\N	\N	\N
419	3.6	28	7	25	2.5	4897	40
420	3.3	30	3	10	2.9	12777	50
421	0	0	0	0	0	0	0
423	4.8	18	5	27	2.9	3591	46
424	5.1	26	10	38	3	1545	50
425	6.3	18	13	72	3.2	809	52
426	8.9	36	36	100	3.6	3820	81
427	3.7	30	6	20	2.6	1775	39
428	7.4	26	25	96	3.9	17840	89
429	4.9	23	10	43	2.4	1694	36
430	6.5	118	87	73	3.1	8453	59
431	6.8	33	27	81	3.8	32475	88
432	3.6	21	4	19	2.7	5885	34
433	4.1	16	3	18	2.5	630	33
434	6.3	33	27	81	2.8	9768	47
435	4.5	27	9	33	2.6	9202	37
436	3.9	26	8	30	2.7	3955	40
437	3.5	19	3	15	2.5	1201	26
438	4.2	12	2	16	3	2782	61
440	7.4	37	36	97	3.1	4985	63
441	7.9	41	40	97	3.8	45956	89
442	5.6	32	20	62	3	16135	60
443	5.8	14	8	57	4	802	89
444	3.2	17	4	23	2.6	1583	31
445	4.2	20	4	20	2.6	808	36
446	7.4	33	29	87	4.1	4321	91
447	4.9	10	3	30	2.8	891	23
448	0	0	0	0	0	0	0
449	7	19	16	84	3.8	898	81
450	4	21	4	19	3.3	3484	72
451	6.1	23	16	69	3	851	40
452	7.1	15	15	100	3.2	348	46
453	\N	\N	\N	\N	\N	\N	\N
454	6.2	50	38	76	3.2	11507	61
455	5.5	21	11	52	2.9	19451	48
456	7.5	19	17	89	4	1823	90
457	7.6	52	49	94	3.6	28862	82
458	6.2	17	9	52	3.2	1686	53
459	5.8	124	76	61	3.2	102622	50
460	3.3	12	1	8	2.4	2200	29
461	6.6	13	10	76	3.2	898	54
462	4.4	8	1	12	2.9	306	34
463	5.2	13	5	38	2.8	474	30
464	5.2	29	14	48	0	0	0
465	5.2	17	8	47	3.6	1458	71
466	5.6	28	17	60	3	9890	61
467	4.4	8	3	37	3.2	368	46
468	5.8	22	13	59	3	3033	50
469	5.4	14	6	42	3.7	3169	74
470	2.7	6	0	0	0	0	0
471	6.2	38	22	57	3.6	10291	80
472	5.2	17	10	58	3	481	40
473	2.2	21	0	0	2.5	3672	47
474	7.6	41	39	95	3.4	7831	72
475	7.6	39	37	94	4	10715	92
476	5	7	2	28	3.8	507	78
477	7.5	33	32	96	3.6	9612	83
478	4.1	20	3	15	2.5	544	24
479	4.2	15	4	26	3.1	2059	53
480	7.2	38	33	86	3.6	91260	81
481	6.2	24	16	66	3.2	9852	63
482	5.1	25	10	40	3.4	3407	65
483	7.9	25	24	96	3.6	963	77
484	6.8	8	6	75	2.9	2576	52
485	4.9	37	14	37	2.6	11445	43
486	3.9	9	2	22	2.8	1377	39
487	3.4	16	1	6	2.8	2199	43
488	0	0	0	0	0	0	0
489	3.9	28	8	28	2.5	4179	38
490	5.8	18	10	55	3	2429	42
491	5.7	20	12	60	3.1	5277	63
492	6.9	21	19	90	3.7	4405	81
493	7.4	34	29	85	3.8	14420	88
494	6	37	24	64	2.9	5176	51
495	7.5	28	23	82	3.5	1565	67
496	7	20	18	90	4.1	120	84
497	7.1	41	37	90	3.6	9764	82
498	5.2	13	6	46	3	1067	45
499	5.9	18	10	55	3.1	870	46
500	5.7	42	27	64	3.4	61130	73
501	8	21	19	90	4.3	3386	92
502	3.6	17	1	5	0	0	0
503	6	11	7	63	3.1	82	40
504	5.1	15	8	53	3	2147	43
505	3	18	2	11	2.6	2932	32
506	6.2	26	21	80	3.9	2705	81
507	7.2	27	22	81	3.5	7814	77
508	6.5	43	32	74	3.7	20896	87
509	8	45	40	88	3.7	12303	86
510	4.6	14	5	35	3.4	5709	83
511	5	14	5	35	3.6	2842	77
512	4.9	22	6	27	2.8	1068	38
513	4	15	3	20	3.1	601	52
514	6.6	41	32	78	3.3	3390	73
515	8.4	38	37	97	3.8	6319	86
516	4.4	18	3	16	2.9	2575	54
517	5.1	35	12	34	2.9	4796	47
518	4.9	16	7	43	2.8	1442	39
519	3.1	28	1	3	2.3	6600	21
520	5.1	22	10	45	3.5	45946	79
521	4.5	34	8	23	3.3	1704	62
522	6.2	24	19	79	3.5	11581	72
523	7.8	15	14	93	3.8	186	77
524	6.8	34	27	79	3.7	21916	88
525	6.5	9	6	66	3.9	305	84
526	0	0	0	0	0	0	0
527	8.8	59	57	96	4.3	83125	96
528	5.1	30	13	43	3.3	11177	66
529	8.1	33	33	100	3.5	3580	81
530	5	16	6	37	3	174	37
531	8.1	17	16	94	3.3	14794	72
532	5.8	44	27	61	3	6394	62
533	7.5	19	16	84	4.2	4005	91
534	8	28	27	96	3.9	3260	85
535	7.8	51	48	94	3.9	5867	87
536	5.5	19	9	47	3.1	1672	52
537	0	0	0	0	0	0	0
538	7.1	30	27	90	3.3	3720	67
539	6.5	43	31	72	3.3	36965	75
540	3.6	24	3	12	2.5	2511	34
541	0	0	0	0	0	0	0
542	3.8	17	4	23	2.9	5679	62
543	5.3	30	15	50	3	11154	66
544	3.6	19	3	15	2.8	4532	39
545	0	1	1	100	0	0	0
546	\N	\N	\N	\N	\N	\N	\N
547	4.3	13	3	23	3	1673	48
548	3.6	20	3	15	2.6	1883	25
549	8	17	15	88	3.8	1129	79
550	4.4	23	6	26	3	1708	52
551	8.2	70	68	97	3.8	124838	89
552	4.8	24	7	29	3.2	13783	67
553	6.4	39	30	76	3.8	31660	93
554	\N	\N	\N	\N	\N	\N	\N
555	7.5	44	40	90	3.9	43205	90
556	9	58	58	100	4.2	33662	94
558	4.6	15	3	20	2.8	7531	49
559	6.8	113	96	84	3.6	27100	71
560	0	3	1	33	0	0	0
561	0	1	0	0	0	0	0
562	7.9	46	41	89	3.7	6911	84
563	6.9	10	9	90	3.7	511	71
564	6.7	27	22	81	4	1927	88
565	7.3	35	31	88	3.5	3398	68
566	6.1	11	6	54	2.9	444	34
567	5.7	13	8	61	0	0	0
568	7.4	8	7	87	3.3	372	60
569	5.2	15	5	33	2.9	2288	50
570	6.9	9	8	88	3.5	76	59
571	6	5	2	40	0	0	0
572	0	3	1	33	0	0	0
573	6.2	7	4	57	3.6	412	71
574	7.2	21	19	90	3.1	824	52
575	3.8	10	2	20	0	0	0
577	5.3	16	7	43	2.7	2286	52
579	5.9	7	4	57	3.3	52	59
580	5.7	14	8	57	3	723	43
581	7.8	24	23	95	3.9	1222	87
582	5.9	6	4	66	0	0	0
583	6.7	9	6	66	4.1	936	86
585	5.7	38	23	60	2.4	3906	38
586	5	30	14	46	3.3	66201	74
587	6.8	42	34	80	3.5	62365	79
588	\N	\N	\N	\N	\N	\N	\N
589	8.4	42	41	97	3.7	77100	88
590	7	46	35	76	3.6	28000	84
591	\N	\N	\N	\N	\N	\N	\N
592	6.2	22	18	81	3	13951	51
593	8.5	52	50	96	4	98921	93
594	0	0	0	0	0	0	0
595	8	57	52	91	3.7	81050	85
596	9	37	37	100	3.3	19102	66
597	5.7	55	34	61	3.5	200724	68
598	5.4	7	3	42	3.9	42	88
599	8.8	38	37	97	4	8004	90
600	6.2	6	5	83	0	0	0
602	7.5	18	16	88	3.9	85	82
603	4.2	21	4	19	2.9	1015	49
605	5.7	29	13	44	3.1	7990	63
606	4.9	10	4	40	2.7	4578	44
608	8.4	66	62	93	3.9	48610	91
609	5.7	16	9	56	2.9	5368	53
610	5.7	25	15	60	3.3	6386	69
611	3.5	10	3	30	2.9	4846	52
612	5	18	7	38	2.3	1285	14
613	\N	\N	\N	\N	\N	\N	\N
614	0	0	0	0	0	0	0
615	0	4	4	100	0	0	0
616	6.1	26	17	65	3.3	23247	71
617	7	23	19	82	3.7	1997	75
618	3.6	7	1	14	2.7	947	33
619	\N	\N	\N	\N	\N	\N	\N
620	0	0	0	0	0	0	0
621	7.3	12	11	91	0	0	0
623	0	2	0	0	3.2	63	38
624	\N	\N	\N	\N	\N	\N	\N
625	0	0	0	0	0	0	0
626	3.5	24	3	12	3.5	3360	73
627	0	0	0	0	0	0	0
628	6.7	41	30	73	3.7	15640	85
629	0	0	0	0	0	0	0
630	6	22	14	63	3.3	256	51
631	0	3	0	0	2.8	10564	48
632	7.8	10	8	80	4.3	1552	93
633	6.4	22	17	77	3.4	47	67
634	0	4	0	0	0	0	0
635	6.3	22	16	72	3.4	546	61
636	0	0	0	0	0	0	0
637	4.4	36	12	33	2.6	3074	46
638	6	11	9	81	3.6	1366	74
639	4.6	32	11	34	0	0	0
640	3.8	25	3	12	2.7	1450	35
641	3.2	8	1	12	2.8	552	34
643	\N	\N	\N	\N	\N	\N	\N
645	7.6	21	20	95	3.8	381	78
647	7.3	52	44	84	3.2	6918	61
648	6.6	217	152	70	3.3	86328	69
649	7.3	10	9	90	3.9	284	81
650	5.5	20	9	45	3.5	855	72
651	\N	\N	\N	\N	\N	\N	\N
652	5.9	7	5	71	3.7	163	69
653	5.7	30	15	50	3.2	19438	63
655	0	0	0	0	0	0	0
656	7.4	33	31	93	3.2	10471	61
658	0	1	0	0	0	0	0
659	8.2	21	21	100	4	670	89
660	4.8	120	44	36	4	105941	84
661	7	55	51	92	3	18876	55
662	4.8	28	11	39	3.2	11285	66
663	4.7	33	13	39	3.4	2060	72
664	3.8	14	1	7	3.1	397	47
665	7.5	18	15	83	4.4	6157	96
666	0	1	1	100	0	0	0
667	0	0	0	0	0	0	0
668	8.9	33	32	96	4.5	1572	95
670	9	16	16	100	4.4	1009	94
671	6.4	37	27	72	3.8	4508	86
673	5.1	44	16	36	2.9	27911	52
674	6	35	26	74	3	5461	55
678	0	0	0	0	0	0	0
679	6	7	3	42	3.3	237	60
680	7.9	25	21	84	3.9	4907	82
681	7.2	6	5	83	3.8	497	77
682	0	2	2	100	0	0	0
683	0	2	2	100	0	0	0
685	5.8	14	7	50	3.7	843	78
687	6.5	6	4	66	3.1	265	44
688	4	24	7	29	2.4	2200	31
690	7	6	5	83	3.7	95	74
691	3.8	29	2	6	3.1	2892	60
692	3.2	26	1	3	2.3	827	25
693	0	1	1	100	0	0	0
694	4.6	21	8	38	2.9	1815	44
695	6	38	20	52	3.2	2873	51
696	6.4	13	10	76	3.2	586	55
697	3.8	19	3	15	2.7	2783	30
698	4.4	5	0	0	0	0	0
700	6	24	17	70	3.9	6295	76
701	0	0	0	0	0	0	0
702	7.9	60	56	93	3.5	62348	81
703	7.5	57	51	89	3.5	5895	84
704	7.2	111	99	89	3	19804	67
705	0	0	0	0	0	0	0
706	4.6	8	1	12	3.6	636	78
707	5.1	29	9	31	2.9	1519	40
708	6.7	36	30	83	2.9	6120	55
709	5.4	33	14	42	3.3	9618	65
710	3.1	23	2	8	2.6	1756	30
711	4.8	17	5	29	2.6	6086	44
712	6.7	10	7	70	3	119	47
713	4.2	5	1	20	0	0	0
714	6.8	33	23	69	4	16798	86
715	6.6	20	13	65	3.7	1134	77
716	5.4	19	10	52	3.5	847	69
717	5.8	9	3	33	3.3	162	56
718	5.4	11	4	36	3.7	3693	74
719	5.4	43	19	44	2.7	4648	43
720	\N	\N	\N	\N	\N	\N	\N
722	0	1	1	100	0	0	0
724	5.4	29	13	44	3.1	23740	67
725	5.1	20	9	45	2.7	1488	32
726	0	0	0	0	0	0	0
727	0	0	0	0	0	0	0
728	7.5	31	26	83	3.7	1564	79
729	7.5	6	6	100	4.2	375	87
730	\N	\N	\N	\N	\N	\N	\N
731	4.1	19	3	15	2.7	457	25
733	6.5	47	31	65	3.6	45013	85
734	3	7	0	0	2.8	747	29
735	6	26	16	61	3.8	3149	78
736	6	49	28	57	3.2	45771	62
737	\N	\N	\N	\N	\N	\N	\N
738	0	0	0	0	0	0	0
741	7.4	31	29	93	3.9	25483	87
